,Synonym_1,Synonym_2,Weird_Category,Synonym_3,Synonym_4,Pos_Tags,Pos_And_Words
0,_1984..1,roman..1,dystopi..1,_1984..pm.1,1984,pm,pm_uwb_hemsöborna
1,_1984..1,roman..1,dystopi..1,nittonhundraåttiofyra..pm.1,nittonhundraåttiofyra,pm,pm_uwb_hemsöborna
2,_1984..1,roman..1,dystopi..1,Nittonhundraåttiofyra..pm.1,Nittonhundraåttiofyra,pm,pm_uwb_hemsöborna
3,a..1,bokstav..1,PRIM..1,a..nn.1,a,nn,nn_vn_alfa_abc
4,A..1,initial..1,PRIM..1,A..nn.1,A,nn,nn_vn_alfa_abc
5,à..1,per..1,PRIM..1,á..pp.1,á,pp,pp_i_i
6,à..1,per..1,PRIM..1,à..pp.1,à,pp,pp_i_i
7,a..2,ton..1,PRIM..1,a..nn.1,a,nn,nn_vn_alfa_abc
8,A3..1,pappersark..1,PRIM..1,a3..nna.1,a3,nna,nna_0n_hk
9,A3..1,pappersark..1,PRIM..1,A3..nna.1,A3,nna,nna_0n_hk
10,A4..1,pappersark..1,PRIM..1,a4..nna.1,a4,nna,nna_0n_hk
11,A4..1,pappersark..1,PRIM..1,A4..nna.1,A4,nna,nna_0n_hk
12,A5..1,pappersark..1,PRIM..1,a5..nna.1,a5,nna,nna_0n_hk
13,A5..1,pappersark..1,PRIM..1,A5..nna.1,A5,nna,nna_0n_hk
14,aa..1,verk..1,citera..1,aa..nna.1,aa,nna,nna_in_ex
15,Aalto..1,efternamn..1,arkitekt..1 finsk..1,Aalto..pm.1,Aalto,pm,pm_hph_berg
16,Aar..1,flod..1,Schweiz..1,Aar..pm.1,Aar,pm,pm_ulg_fyris
17,Aaron..1,förnamn..1,han..1,Aaron..pm.1,Aaron,pm,pm_mph_lars
18,abakus..1,räkna..1,PRIM..1,abakus..nn.1,abakus,nn,nn_3u_karbid
19,abalone..1,havsöra..1,PRIM..1,abalone..nn.1,abalone,nn,nn_4u_linje
20,abandon..1,otvungen..1,PRIM..1,abandon..nn.1,abandon,nn,nn_0u_månsing
21,Abba..1,popgrupp..1,PRIM..1,Abba..pm.1,Abba,pm,pm_poc_hepstars
22,Abba..2,konservfabrik..1,PRIM..1,Abba..pm.2,Abba,pm,pm_nog_volvo
23,Abbas..1,förnamn..1,han..1,Abbas..pm.1,Abbas,pm,pm_mph_lars
24,Abbas..2,efternamn..1,Palestina..1 president..1,Abbas..pm.2,Abbas,pm,pm_hph_berg
25,abbé..1,abbot..1,PRIM..1,abbé..nn.1,abbé,nn,nn_3u_akademi
26,Abbe..1,förnamn..1,han..1,Abbe..pm.1,Abbe,pm,pm_mph_sture
27,abbedissa..1,kloster..1,PRIM..1,abbedissa..nn.1,abbedissa,nn,nn_1u_olja
28,abborre..1,fisk..1,PRIM..1,abborre..nn.1,abborre,nn,nn_2u_vinge
29,abborre..1,fisk..1,PRIM..1,aborre..nn.1,aborre,nn,nn_2u_vinge
30,abborrfisk..1,abborrliknande..1,PRIM..1,abborrfisk..nn.1,abborrfisk,nn,nn_2u_sten
31,abborrliknande..1,abborre..1,likna..1,abborrliknande..av.1,abborrliknande,av,av_i_diverse
32,abborrpinne..1,abborre..1,liten..1,abborrpinne..nn.1,abborrpinne,nn,nn_2u_ormbunke
33,abbot..1,föreståndare..1,kloster..1,abbot..nn.1,abbot,nn,nn_2u_stol
34,abbotlig..1,abbot..1,PRIM..1,abbotlig..av.1,abbotlig,av,av_1_gul
35,abbotskap..1,abbot..1,PRIM..1,abbotskap..nn.1,abbotskap,nn,nn_0n_ansvar
36,abbotskloster..1,kloster..1,abbot..1,abbotskloster..nn.1,abbotskloster,nn,nn_6n_foder
37,abbotsstav..1,stav..1,abbot..1,abbotsstav..nn.1,abbotsstav,nn,nn_2u_mening
38,abbotsstift..1,stift..1,abbot..1,abbotsstift..nn.1,abbotsstift,nn,nn_6n_departement
39,abbotsvärdighet..1,abbot..1,PRIM..1,abbotsvärdighet..nn.1,abbotsvärdighet,nn,nn_0u_boskap
40,abbreviation..1,abbreviera..1,PRIM..1,abbreviation..nn.1,abbreviation,nn,nn_3u_salong
41,abbreviatur..1,abbreviera..1,PRIM..1,abbreviatur..nn.1,abbreviatur,nn,nn_3u_karbid
42,abbreviera..1,förkorta..1,PRIM..1,abbreviera..vb.1,abbreviera,vb,vb_1a_beundra
43,abbrevierande..1,abbreviera..1,PRIM..1,abbrevierande..nn.1,abbrevierande,nn,nn_5n_saldo
44,abbrevierbar..1,abbreviera..1,möjlig..1,abbrevierbar..av.1,abbrevierbar,av,av_1_gul
45,abbrevierbarhet..1,abbrevierbar..1,PRIM..1,abbrevierbarhet..nn.1,abbrevierbarhet,nn,nn_0u_boskap
46,abbreviering..1,abbreviera..1,PRIM..1,abbreviering..nn.1,abbreviering,nn,nn_2u_mening
47,abc..1,alfabet..1,PRIM..1,abc..nn.1,abc,nn,nn_vn_alfa_abc
48,abc..2,grundkunskap..1,PRIM..1,abc..nn.1,abc,nn,nn_vn_alfa_abc
49,abc-bok..1,bok..1,abc..1,abc-bok..nn.1,abc-bok,nn,nn_3u_bok
50,abc-bok..2,bok..1,abc..2,abc-bok..nn.1,abc-bok,nn,nn_3u_bok
51,Abchazien..1,Kaukasus..1,PRIM..1,Abchazien..pm.1,Abchazien,pm,pm_nlp_sverige
52,abchazisk..1,Abchazien..1,PRIM..1,abchazisk..av.1,abchazisk,av,av_0_medelstor
53,abderitisk..1,enfaldig..1,PRIM..1,abderitisk..av.1,abderitisk,av,av_1_gul
54,abdikation..1,abdikera..1,PRIM..1,abdikation..nn.1,abdikation,nn,nn_3u_salong
55,abdikationsakt..1,abdikation..1,PRIM..1,abdikationsakt..nn.1,abdikationsakt,nn,nn_3u_salong
